urgency,subject
1,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,svn commit: samba r22134 - in branches/SAMBA_4_0: . 	source/script/tests
0,Re: [sugar] trying to run under OS X parallels
0,[perl #42359] [PATCH] Assorted cleanups - part III (Intel C++) 
0,[perl #42360] [TODO]:  Unit tests for Parrot::Revision 
0,Re: [sugar] trying to run under OS X parallels
0,Re: errors when reinstalling kernel-2.6.19 on fedora core 6
0,Re: svn commit: samba r22134 - in branches/SAMBA_4_0: . 	source/script/tests
0,Re: svn commit: samba r22134 - in branches/SAMBA_4_0: . 	source/script/tests
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,Re: [R] Reasons to Use R
0,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
1,Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd
0,"Re: How to ""source"" another perl-file into one"
1,[perl #42362] [TODO]:  Unit tests for modules used during configuration 
0,[R] Could not fit correct values in discriminant analysis by bruto.
1,Re: Broken ACPI with kernel 2.6.18-4-686 in HP nx6110 laptop
0,[R] Repeated Measures design using lme
0,[R] R:Maximum likelihood estimation using BHHH and BFGS
0,"April 9, 2007"
0,[R] Dealing with large nominal predictor in sem package
0,[Slashdot] Headlines for 2007-04-09
0,AccuWeather.com Alert(tm) Forecast For User|AVCAVC
0,AccuWeather.com Alert(tm) Forecast For User|AVCCVA
0,Google Alert - bush
0,[Slashdot] Stories for 2007-04-09
0,Re: [R] data encapsulation with classes
0,"[Ip-health] USTR Report on Foreign Trade Barriers, 2007"
0,[Ip-health] [korus-fta may be changed?
0,[Ip-health] Request: Sign on letter from clinicians and researchers to Abbott CEO
0,[Ip-health] Dems on data exclusivity
0,[perl #42369] [TODO] optimize pointer loading in saveall() 
0,CBS SportsLine Daily Sports Report
0,[Ip-health] Annex 2C Plus provisions in KoreaUS FTA Phrma Chapter
0,[Ip-health] The Impact of University/Biotech Licensing Agreements on Access to Medicines in the Developing World
0,[perl #42371] [TODO] check if object.can(method) in callmethodcc() op 
0,[perl #42372] [TODO] same opcode names should differ (subclass op) 
0,[perl #42373] [TODO] handle non-integer file descriptors 
0,[perl #42374] [TODO] free results from string_to_cstring() without ugly warnings 
0,[perl #42375] [TODO] make pmcinfo op official 
0,[perl #42376] [TODO] handle all ready states in add_io_event opcode 
0,[perl #42377] [TODO] clone interpreter to play into the debugger 
0,[perl #42378] [TODO] explicit exit from debug_break() op is not ok 
0,[perl #42379] [TODO] adjust register layout in debug_print() 
0,[perl #42381] [TODO] search library path for parrot bytecode when loading 
0,[R] How to solve differential and integral equation using R?
0,JSON won't make test
0,abecedarian: Dictionary.com Word of the Day
0,[perl #42382] [TODO] imcc - delete quotes and emit pbc 
0,[perl #42383] [TODO] imcc - if frame->s.file was allocated free it 
0,[perl #42384] [TODO] imcc - check that all the .file text is malloced / freed 
0,[perl #42385] [TODO] imcc - remove global variable: cur_namespace 
0,=?iso-8859-1?Q?Today's_WeatherDirect_Forecast_for_Waterloo?=
0,Officials: U.S. to take legal action against China
0,Re: [R] R:Maximum likelihood estimation using BHHH and BFGS
0,"MSN-list Digest, Vol 7, Issue 83"
0,svn commit: samba r22135 - in branches/SAMBA_3_0/source: . auth 	registry utils
0,Re: [R] how to image.plot a XY grid file into a lat-lon map
0,Re: [R] How to solve differential and integral equation using R?
0,Daily Power Report
0,Re: [R] Dealing with large nominal predictor in sem package
0,svn commit: samba r22136 - in 	branches/SAMBA_4_0/webapps/swat/source/class/swat/module/ldbbrowse: 	.
1,Re: incorrect event for ComboBox in samba4's swat.module.ldbbrowse
0,Re: [R] R 'could not find any X11 fonts'
1,Re: [perl #42371] [TODO] check if object.can(method) in callmethodcc()  op
1,svn commit: samba r22137 - in branches/SAMBA_4_0: . 	source/script/tests
0,"Rev 11811: Actually use client.conf, 	defer more code as far as possible. in 	file:///home/jelmer/bzr.samba/SAMBA_4_0/"
0,"[R] Problem installing gnomeGUI in Ubuntu: ""HAVE_ORBIT"" was never 	defined"
0,"CNN Political Ticker AM, Monday, April 9, 2007"
0,AccuWeather.com Alert(tm) Forecast For User|AVCAVC
0,AccuWeather.com Alert(tm) Forecast For User|AVCCVA
0,Power Delivery Planning/Distribution Engineering Fundamentals  April 17-20  Atlanta
0,"Re: Boot on CD, transfer to USB?"
1,Mirroring ISOs
0,Parrot Bug Summary
0,CNN Alerts: bush
0,Re: mirrors in ftp.ipv6.debian.org that are missing
0,FNC Alert
0,News Summary
0,Re: JSON won't make test
0,Outsourcing for Utilities  April 17-18 Chicago
0,Re: [R] Could not fit correct values in discriminant analysis by 	bruto.
0,CNN Alerts: bush
0,Re: [R] data encapsulation with classes
0,[R] Modified Sims test
0,Stock Notification for ONEOK Inc.
0,Stock Notification for ONEOK Inc.
0,Stock Notification for ONEOK Inc.
0,Stock Notification for ONEOK Inc.
0,Stock Notification for NTELOS Holdings Corp.
0,Stock Notification for Napster
0,"Stock Notification for Netflix, Inc."
0,"Stock Notification for Netflix, Inc."
0,"Stock Notification for Netflix, Inc."
0,"Stock Notification for Netflix, Inc."
0,Stock Notification for SatCon Technology Corporation
0,Stock Notification for SatCon Technology Corporation
0,Stock Notification for SatCon Technology Corporation
0,Stock Notification for SatCon Technology Corporation
0,Re: Parrot Bug Summary
0,=?us-ascii?Q?Verified_for_Spam_=2DRODIN=2D_I2R=3A_Problem_Accessing_Pe?= 	=?us-ascii?Q?rl_Modules_Through_=2Ehtaccess?=
0,OT: html checkbox question
0,Beginning to use the stricts and warnings
0,Re: Verified for Spam -RODIN- I2R: Problem Accessing Perl Modules Through .htaccess
0,The Internet Patrol -  Internet Hoax Leads to Woman's House Being Gutted
0,Re: [sugar] touchpad button colors
0,Re: Beginning to use the stricts and warnings
0,"Re: [R] lm() intercept at the end, rather than at the beginning"
0,Re: Beginning to use the stricts and warnings
0,Fwd: debian.blueyonder.co.uk broken
0,"CNN Alerts: bush, etc."
0,Re: [R] Generate a serie of new vars that correlate withexistingvar
0,[perl #42393] [TODO] FIXME items in languages/regex/lib/Regex/Grammar.y 
0,Re: [sugar] A place to point new developers
0,Re: Broken ACPI with kernel 2.6.18-4-686 in HP nx6110 laptop
1,RE: Problem Accessing Perl ModulesThrough .htaccess
0,Re: [R] Reasons to Use R
0,Re: [sugar] A place to point new developers
0,"The Skinny: Monday, April 9, 2007"
0,Re: Problem Accessing Perl ModulesThrough .htaccess
0,Re: Beginning to use the stricts and warnings
0,Re: [R] Reasons to Use R
0,FNC Alert
0,RE: Problem Accessing Perl ModulesThrough .htaccess
0,Re: [R] Reasons to Use R
0,Re: Mirroring ISOs
0,Re: [R] Reasons to Use R
0,"4th Annual Marketing Green Power April 19 - 20, 2007, Chicago, IL"
0,Re: OT: html checkbox question
1,Re: Fwd: debian.blueyonder.co.uk broken
0,Re: Mirroring ISOs
0,svn commit: samba r22138 - in branches/SAMBA_3_0_RELEASE: . 	examples/VFS examples/libsmbclient packaging source 	source/client source/include source/lib 	source/lib/replace/system source/libads source/librpc/ndr 	source/libsmb source/modules source/nmbd source/nsswitch 	source/passdb source/printing source/rpc_parse 	source/rpc_server source/rpcclient source/script/tests 	source/smbd source/torture source/utils
0,Re: Mirroring ISOs
0,News Summary
0,Re: [R] Rserve and R to R communication
0,svn commit: samba r22139 - in branches/SAMBA_3_0_25: .
0,Re: Problem Accessing Perl ModulesThrough .htaccess
0,"[Ip-health] Times of India editorial, IPR & Public Interest"
0,[Ip-health] Bangkok Post: Abbott shuns Aids drug talks
0,"HowStuffWorks Science & Technology Newsletter April 9, 2007"
0,Re: [sugar] A place to point new developers
0,TONIGHT ON SHOWBIZ TONIGHT- CNN HEADLINE PRIME 11pm ET/ 11pm PT
1,relevancy of saens as a member of ftp.us.d.o ?
0,CNN Alerts: bush
0,=?iso-8859-1?Q?Today's_WeatherDirect_Forecast_for_Waterloo?=
0,Re: Beginning to use the stricts and warnings
0,"The great ""class"" variable renaming"
0,Re: [R] Reasons to Use R
0,svn commit: samba r22140 - in branches/SAMBA_3_0_25/source: .
0,[R] do.call vs. lapply for lists
0,[sugar] new chat activity
0,Re: [R] Reasons to Use R
0,Re: [R] do.call vs. lapply for lists
0,[R] data in serial port... how to read
0,Re: [R] do.call vs. lapply for lists
0,svn commit: samba r22141 - in 	branches/SAMBA_3_0_RELEASE/source/modules: .
0,CBSNews.com News Alert! Police Locate Michigan Gunman
0,[R] Power for Linear Wald Test
0,"In The News: Britney Spears, Richard Gere, Johnny Hart"
0,FNC Alert
0,Re: [R] do.call vs. lapply for lists
0,Re: [R] do.call vs. lapply for lists
0,[sugar] Error starting up sugar
0,CNN Breaking News
0,"Re: [R] Problem installing gnomeGUI in Ubuntu: ""HAVE_ORBIT"" was 	never defined"
0,[R] Lagrange multiplier for ordinary kriging in gstat in R??
0,svn commit: samba r22142 - in branches/SAMBA_3_0_RELEASE: .
0,Re: [sugar] FW: Touchpad XO
0,[R] R Python Matlab
0,svn commit: samba r22143 - in branches/SAMBA_3_0_RELEASE: .
0,svn commit: samba-docs r1091 - in trunk/manpages-3: .
0,Re: [R] data in serial port... how to read
0,Re: [R] Rserve and R to R communication
0,Re: [R] Reasons to Use R
0,Your daily e-mail from the BBC
0,U.S. to file piracy complaint against China
0,Re: [R] Could not fit correct values in discriminant analysis by 	bruto.
0,"Re: Boot on CD, transfer to USB?"
0,AccuWeather.com Alert(tm) Forecast For User|AVCAVC
0,AccuWeather.com Alert(tm) Forecast For User|AVCCVA
0,Re: OT: html checkbox question
0,Could Immortality Become a Reality?
0,CNN Alerts: My Custom Alert
0,Politics E-Wire
0,Re: [R] Could not fit correct values in discriminant analysis by 	bruto.
0,Re: [R] Rserve and R to R communication
0,FOX 411
0,Sarbanes-Oxley for Utilities  April 19-20 Chicago
0,"FOXNews.com CEO News Brief - April 9, 2007"
0,svn commit: samba r22144 - in tags: .
0,svn commit: samba-docs r1092 - in tags: .
0,[R] ISwR library
0,Re: [sugar] new chat activity
0,Re: [R] ISwR library
1,Uploading 3.0.25rc1 now
0,Re: [R] Rserve and R to R communication
0,PE Today: Can We See Some I.D.?
1,jigdo and templates for businesscard and netinst?
0,320p 4/9 Update: Soyuz docks with station
0,Re: [R] Rserve and R to R communication
0,Pres. Bush on Immigration Reform
0,svn commit: samba-web r1099 - in trunk: .
0,CNN.com Daily Top 10
0,Re: [R] Rserve and R to R communication
0,ONEOK Named a Top Performer on CFO Magazine's Annual Capital Spending Scorecard
0,Cabot Wealth Advisory 4/9/07 - The Thin Veneer of Civilization
0,"[R] plot log scale, axis original scale"
0,[Ip-health] Summary of Korea-US FTA based on SKG press release
0,Samba 3.0.25rc1 AVailable for Download
1,Re: Bug#418427: debian-installer: Debian 4 Indian mirror points to  Debian 3
0,Re: [R] ISwR library
0,"Re: [perl #42334] PGE compiler faults out ""set_integer_keyed() not implemented in class 'Undef'"""
0,CBS Evening News with Katie Couric E-Mail Alert
0,"Re: [R] plot log scale, axis original scale"
0,News Summary
0,SatCon Issues Statement Regarding 2006 Year-End Results
0,"Re: The great ""class"" variable renaming"
0,"The CNN Political Ticker PM, Monday, April 09, 2007"
0,Chasing Life
0,svn commit: samba r22145 - in branches: SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/smbd
0,Re: [R] Rserve and R to R communication
0,Stock Quote Notification for ONEOK Inc.
0,Re: [R] Rserve and R to R communication
0,Re: [R] Rserve and R to R communication
0,Re: [R] Reasons to Use R
0,Weekly Programming Guide: NFL Draft: April 28 
0,Re: [R] Rserve and R to R communication
0,[R] sem vs. LISREL: sem fails
0,Re: [R] Reasons to Use R
0,Re: errors when reinstalling kernel-2.6.19 on fedora core 6
0,[sugar] Getting sugar running on a Mac
0,[Ip-health] E.U. compulsory licence of Shell/BASF Targor Metallocene patent rights (2000 case)
0,[R] tapply
0,Re: [R] Reasons to Use R
0,=?iso-8859-1?Q?Today's_WeatherDirect_Forecast_for_Waterloo?=
0,[Proposal] Punt support for security = share when using Windows 	VIsta
0,New hope for people at risk for heart failure.  That story tonight on the CBS EVENING NEWS with KATIE COURIC
0,CNN Breaking News
0,CNN Breaking News
0,[sugar] Parallels and 385 continued
0,"Stock Quote Notification for Netflix, Inc."
0,Stock Quote Notification for NTELOS Holdings Corp.
0,Stock Quote Notification for SatCon Technology Corporation
0,Stock Quote Notification for Napster
0,CNN Alerts: bush
0,645p 4/9 Update: Soyuz crew welcomed; NASA announces station contract
0,Re: Fixed exclude_dir in the recycle vfs
0,[R] testing differences between slope differences with lme
0,Class/Role namespace links
0,Re: [R] Dealing with large nominal predictor in sem package
0,FNC Alert
0,Re: [R] testing differences between slope differences with lme
0,CBSNews.com News Alert! CBS Suspends Imus For Two Weeks
1,Build status as of Tue Apr 10 00:00:02 2007
0,"[perl #41912] [CAGE] survey tools/ dir for unused, old, or broken code, and remove or fix as necessary "
0,[cc-community] Video Slam: New CC initiative in Australia
0,Re: [R] Dealing with large nominal predictor in sem package
0,new CD mirror: ftp.br.debian.org
1,Re: [sugar] new chat activity
0,Re: Mirroring ISOs
0,Re: jigdo and templates for businesscard and netinst?
1,Re: [Proposal] Punt support for security = share when using 	Windows VIsta
1,Re: [Proposal] Punt support for security = share when using	Windows  VIsta
1,Re: [Proposal] Punt support for security = share when using	Windows 	VIsta
0,Re: [sugar] Getting sugar running on a Mac
0,CNN Alerts: bush
0,Re: [R] sem vs. LISREL: sem fails
0,Re: [R] Dealing with large nominal predictor in sem package
0,Re: [R] Dealing with large nominal predictor in sem package
0,[svn:parrot-pdd] r18096 - trunk/docs/pdds
0,Re: inspect and inspect_str from PIR
0,TCO Round 1B
0,Re: [R] Reasons to Use R  [Broadcast]
0,[R] Plot symbols dimension
0,Re: [R] Plot symbols dimensions
0,Rev 77: fix a possible free after use in 	http://samba.org/~tridge/ctdb
0,Rev 76: fix configure for new test location in 	http://samba.org/~tridge/ctdb
0,Rev 78: merge from ronnie in http://samba.org/~tridge/ctdb
0,Re: [sugar] Getting sugar running on a Mac
0,"April 10, 2007"
0,[Slashdot] Headlines for 2007-04-10
0,Re: [R] Labelling boxplot with fivenumber summary
0,Re: [R] Reasons to Use R [Broadcast]
0,Re: [R] Plot symbols dimension
0,Re: [R] Plot symbols dimensions
0,[R] Testing invertibility of an AR model
0,Re: [sugar] Getting sugar running on a Mac
0,AccuWeather.com Alert(tm) Forecast For User|AVCAVC
0,AccuWeather.com Alert(tm) Forecast For User|AVCCVA
0,CNN Alerts: bush
0,[sugar] Who's running Planet Laptop?
0,Re: [sugar] Who's running Planet Laptop?
1,Re: Debian GNU/Linux 4.0 (etch) released
0,Rev 79: added daemon mode to ctdb_bench in 	http://samba.org/~tridge/ctdb
0,Rev 80: merge tcp changes from ronnie in 	http://samba.org/~tridge/ctdb
0,[Slashdot] Stories for 2007-04-10
1,ParrotSketch Agenda for 4/10/07
0,Google Alert - bush
0,[R] When to use quasipoisson instead of poisson family
0,[R] Problem with saving R plot in Emacs
0,Re: [R] Testing invertibility of an AR model
0,Re: [R] Problem with saving R plot in Emacs
0,Re: [perl #42359] [PATCH] Assorted cleanups - part III (Intel C++)
0,Re: [perl #42359] [PATCH] Assorted cleanups - part III (Intel C++)
0,Re: [perl #42359] [PATCH] Assorted cleanups - part III (Intel C++)
0,Re: [perl #42359] [PATCH] Assorted cleanups - part III (Intel C++)
0,[R] median polishing
0,Re: vtable cleanup and questions
0,Re: new CD mirror: ftp.br.debian.org *done*
0,[svn:parrot-pdd] r18097 - trunk/docs/pdds/draft
0,Perl: how these two variables are equal numerically?
0,Re: Minor notes/suggestions on PDD15
0,Re: [R] median polishing
0,Re: Class/Role namespace links
0,Re: [R] When to use quasipoisson instead of poisson family
0,"Re: [sugar] New stable build, 385/q2b87"
0,Re: Perl: how these two variables are equal numerically?
0,Re: [perl #42371] [TODO] check if object.can(method) in callmethodcc()   op
0,Re: how these two variables are equal numerically?
0,[svn:parrot-pdd] r18101 - trunk/docs/pdds
0,Re: remove_method vtable?
0,svn commit: samba r22146 - in branches: SAMBA_3_0/source/modules 	SAMBA_3_0_25/source/modules
0,Re: how these two variables are equal numerically?
0,Re: Minor notes/suggestions on PDD15
0,svn commit: samba r22147 - in branches: SAMBA_3_0/source/modules 	SAMBA_3_0_25/source/modules
0,Re: Perl: how these two variables are equal numerically?
0,[R] &500 and above ignored
0,CBS SportsLine Daily Sports Report
0,[Ip-health] E.C. on: Ethical aspects of patenting inventions involving human stem cells
0,"Re: [sugar] New stable build, 385/q2b87"
0,Re: Minor notes/suggestions on PDD15
0,Re: [R] When to use quasipoisson instead of poisson family
0,[perl #42406] [PATCH] improper null testing in Parrot_instantiate_object 
0,Re: [sugar] PLEASE test Build 368 and Q2B84 firmware ASAP.
0,Re: how these two variables are equal numerically?
0,Re: JSON won't make test
0,rivulet: Dictionary.com Word of the Day
0,Re: [R] tapply
0,=?iso-8859-1?Q?Today's_WeatherDirect_Forecast_for_Waterloo?=
0,"Re: [R] plot log scale, axis original scale"
0,Re: [R] When to use quasipoisson instead of poisson family
0,Re: [R] &500 and above ignored
0,Rev 81: made all sockets handle partial IO in 	http://samba.org/~tridge/ctdb
0,"MSNBC, CBS take Imus off air"
0,Rev 82: merge from ronnie in http://samba.org/~tridge/ctdb
0,"Rev 83: make some functions static, 	and remove an unused structure in http://samba.org/~tridge/ctdb"
0,Re: [R] When to use quasipoisson instead of poisson family
0,[R] Question regarding the mvtnorm R package
0,[R] TXTSETUP.OEM and CD-ROM?
0,"[perl #42407] [PATCH] refactor vtable overriding, delegate.c generation "
0,"MSN-list Digest, Vol 7, Issue 84"
0,Re: [R] &500 and above ignored
0,Re: [R] &500 and above ignored
0,[R] Multiple output from cor.test
0,Rev 5343: Merge from upstream. in 	http://samba.sernet.de/ma/bzr/SAMBA_3_0-registry.bzr/
0,[R] Alerte de l'antivirus de l'IPC: file85.eml\raglans.png 	Malformed attachment blocked
0,Rev 5344: remove moved files from merge. in 	http://samba.sernet.de/ma/bzr/SAMBA_3_0-registry.bzr/
0,Daily Power Report
0,Rev 84: fix the queueing for partially connected tcp sockets in 	http://samba.org/~tridge/ctdb
0,Rev 5345: auth/auth_util2.c renamed to auth/token_util.c in 	Volker's checkin in 	http://samba.sernet.de/ma/bzr/SAMBA_3_0-registry.bzr/
0,[perl #42412] Configure.pl things =no is true 
0,"[perl #42408] Re: [PATCH] refactor vtable overriding, delegate.c generation "
0,[perl #42411] [PARTIALPATCH] Building a 32bit parrot on freebsd under amd64 fails. 
0,Re: [R] Modified Sims test
0,Severe error
0,Re: Hinner EDV: Correct Logo Usage?
1,Re: Swiftfox license
0,"Re: [R] Problem installing gnomeGUI in Ubuntu: ""HAVE_ORBIT"" was  never defined"
0,AccuWeather.com Alert(tm) Advisory  (avcavc)
0,News & Views | 04.09.07
0,[R] Matlab import
0,[R]  string edit distance
0,Re: [R] Matlab import
0,Re: [R] sem vs. LISREL: sem fails
0,Re: [sugar] Error starting up sugar
0,[R] WG:  Matlab import
0,Re: [R] Matlab import
0,Re: [R] Reasons to Use R
0,Re: [R] Matlab import
0,AccuWeather.com Alert(tm) Forecast For User|AVCCVA
0,AccuWeather.com Alert(tm) Forecast For User|AVCAVC
0,"CNN Political Ticker AM, Tuesday, April 10, 2007"
0,Your April automotive updates from Autobytel
0,Re: [R] sem vs. LISREL: sem fails
0,Re: [R] Matlab import
0,Re: Sorting dir output
0,[Ip-health] Public lecture recording - Dr.Thomas Faunce - Impact of US-AUS FTA on  Australian PBS
0,[Ip-health] Reuters:  India asks Novartis to withdraw patent challenge
0,"Renewable Power Project Finance  April 30-May 2, 2007  NY NY"
0,Re: Sorting dir output
0,[Ip-health] Indian Govt asks novartis to withdraw patent challenge - Reuters news
0,[Ip-health] Wall Street Journal: U.S. Leaves Door to China Ajar
0,News Summary
0,[R] Computational speed question
0,Trouble with backtracking in RE
0,Re: [sugar] Error starting up sugar
0,[sugar] Getting sugar running on a Mac
0,Re: Sorting dir output
0,In defence of YouTube
0,Stock Notification for NTELOS Holdings Corp.
0,Stock Notification for Napster
0,Re: Trouble with backtracking in RE
0,Energy Jobs Report: Current Postings
0,NERC Reliability Compliance Strategies Webinar  April 17
0,"fix SASL ""GSSAPI"" bind against w2k3"
0,Re: Sorting dir output
0,[Ip-health] Abbott cuts price of Kaletra
0,"Re: fix SASL ""GSSAPI"" bind against w2k3"
0,"Re: fix SASL ""GSSAPI"" bind against w2k3"
0,"The Skinny: Tuesday April 10, 2007"
0,Re: [R] Computational speed question
0,Re: Sorting dir output
0,"Re: fix SASL ""GSSAPI"" bind against w2k3"
0,"In The News: Anna Nicole Smith, Don Imus, Jason Wahler"
0,[R] How to do spatial-temporal regression
0,"Re: [R] Problem installing gnomeGUI in Ubuntu: ""HAVE_ORBIT"" was 	never defined"
0,Re: [R] Matlab import
0,Re: [R] Reasons to Use R
0,Re: [sugar] Error starting up sugar
0,Re: [sugar] Getting sugar running on a Mac
0,Re: Sorting dir output
0,svn commit: samba r22148 - in branches: SAMBA_3_0/source/modules 	SAMBA_3_0_25/source/modules
0,svn commit: samba r22149 - in branches: SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/smbd
1,wrt inotify problem
0,Re: wrt inotify problem
1,Re: wrt inotify problem
0,Re: [sugar] Getting sugar running on a Mac
1,Re: wrt inotify problem
0,"HowStuffWorks Automotive Newsletter April 10, 2007"
0,Re: [sugar] Error starting up sugar
1,Re: wrt inotify problem
0,Re: Debian-approved creative/content license?
0,Re: Best notebook
0,Re: wrt inotify problem
0,svn commit: samba r22150 - in 	branches/SAMBA_3_0_25/source/lib/replace: . test
0,Re: wrt inotify problem
0,CNN Alerts: bush
0,News Summary
0,svn commit: samba r22151 - in 	branches/SAMBA_3_0/source/lib/replace: . test
0,svn commit: samba r22152 - in 	branches/SAMBA_4_0/source/lib/replace: . test
0,Re: wrt inotify problem
0,svn commit: samba r22153 - in branches/SAMBA_3_0/source/libads: .
1,Bug#418568: UK mirror updates
1,Re: wrt inotify problem
0,AccuWeather.com Alert(tm) Advisory  (avcavc)
1,Re: wrt inotify problem
1,Re: wrt inotify problem
0,Re: Best notebook
1,"Re: fix SASL ""GSSAPI"" bind against w2k3"
0,[R] Estimate new values from GLM (familiy=Gamma)
1,Re: wrt inotify problem
0,In tonight's programme
1,Re: wrt inotify problem
0,"Re: fix SASL ""GSSAPI"" bind against w2k3"
0,Re: wrt inotify problem
1,Re: wrt inotify problem
0,[R] nlm() and optim()
0,=?iso-8859-1?Q?Today's_WeatherDirect_Forecast_for_Waterloo?=
1,Re: wrt inotify problem
0,  The Internet Patrol -  Blogger Freed from Jail After Providing and Posting Disputed Video
1,[cc-community] Wikitravel nominated for Webby Award in Travel 	category
0,Re: Sorting dir output
1,tdb docs
0,[R]  Lagrange multiplier for ordinary kriging in gstat in R??
0,TONIGHT ON SHOWBIZ TONIGHT- CNN HEADLINE PRIME 11pm ET/11pm PT
1,Re: [R] nlm() and optim()
0,FNC Alert
1,Re: tdb docs
0,The gnome and orca interface - was: About Ubuntu
