importance,subject,message
1,"svn commit: samba r22132 - in branches: SAMBA_3_0/source/modules 	SAMBA_3_0/source/smbd SAMBA_3_0_25/source/modules 	SAMBA_3_0_25/source/smbd",Author Date Sun New Revision samba bin view rev root samba rev Log I hate inefficiency Don t call on every call initialize these in an at connection time and just refer to them directly source c source c source c source c source c source c rev source c rev static BOOL BOOL This module with Vista read on by the initial boundary and causing the buffer cache to be filled in advance static unsigned long handle SNUM handle conn offset NULL if return unsigned long wrapper that does static unsigned long handle unsigned long SNUM handle conn length NULL if return unsigned long static handle offset count unsigned long handle if offset unsigned long handle handle data if offset if defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err else if if no on this platform n True True count wrapper that does static handle count offset unsigned long handle if offset unsigned long handle handle data if offset if defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err else if if no on this platform n True True return handle data count offset Directly from main when freeing handle static void void Allocate the handle specific data so we don t call the expensive function for each static handle char service char user if out of memory n return False SNUM handle conn offset NULL if SNUM handle conn length NULL if handle data void handle return we re We don t replace read as it t used from to read file data static NULL Module void void source c source c rev source c rev operation d type d layer d n i i type i layer if i layer If this operation was already made opaque by different module it will be here will be here Making operation type d opaque module s n i type conn i type handle i source c source c rev source c rev static BOOL BOOL This module with Vista read on by the initial boundary and causing the buffer cache to be filled in advance static unsigned long handle SNUM handle conn offset NULL if return unsigned long wrapper that does static unsigned long handle unsigned long SNUM handle conn length NULL if return unsigned long static handle offset count unsigned long handle if offset unsigned long handle handle data if offset if defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err else if if no on this platform n True True count wrapper that does static handle count offset unsigned long handle if offset unsigned long handle handle data if offset if defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err defined err offset err offset on u offset u returned d n unsigned unsigned long long offset unsigned unsigned err else if if no on this platform n True True return handle data count offset Directly from main when freeing handle static void void Allocate the handle specific data so we don t call the expensive function for each static handle char service char user if out of memory n return False SNUM handle conn offset NULL if SNUM handle conn length NULL if handle data void handle return we re We don t replace read as it t used from to read file data static NULL Module void void source c source c rev source c rev operation d type d layer d n i i type i layer if i layer If this operation was already made opaque by different module it will be here will be here Making operation type d opaque module s n i type conn i type handle i
0,Slow Mouse Cursor,Thank you for posting this Same issue with A Dell Pasted those reload and it works now To to REQUEST with a subject of Trouble Contact
0,News Summary,Home U S World Politics Health Entertainment Business Opinion Sports Video The Early Show Evening News The Early Show Morning Face The Nation TOP In Roadside in southern left seven dead in the midst of an anti offensive in the world s most fertile opium region while a translator for an journalist was More Pope s Easter Message War Unrest U S In Province Levin Senate Will Not Cut Funds Watch U S An Easter Basket Full Of An unseasonable cold snap put a chill on Easter across the Southeast and much of the rest of moving some indoors and over spring More Watch Winter In Illegal Border Rarely Watch Baby In s Car Chase Author Hiss Innocent Of Espionage More World World s Celebrate Easter From to to of the Orthodox and Western celebrated Easter for a better future and ancient on the same day this year as their religious More Warn Zimbabwe Leader Of Revolt Negligence Charge For Cruise Ship Captain Watch U S In Province More Politics In North Presidential candidate Bill in North for a rare visit by a prominent official on a trip endorsed by the administration of President Bush More Levin Senate Will Not Cut Funds Watch For Big Money Both Ways Watch Aide Amid More Health Are Organic Really Any if organic are really and for than so conventionally grown The answer might surprise you More Watch Is Organic Produce Drug Watch A Bowl Of Intense Sadness Can Be Normal More U S Space Tourist Off A rocket carrying U S billionaire and two blasted off late from the en route to the international space station More Solar Could Make Go Haywire Watch Saving Time By Going Watch Century Old Fish Caught Off Coast More Business Fed Suspended In Student Loan Probe A federal government official is now under scrutiny in a probe into the college student loan industry and three major have suspended top financial aid in the wake of the investigation More Rise In Consumer Debt Slows Judge Injunction On To And More Entertainment This Is He s Not Tony Any of the line between actor and mob boss Tony Soprano is understandable given the towering achievement of s performance which on More Booking Your Own Private Library Show At His Own Tribute Don For Racist More Opinion Grass Not Always Greener In Many suburban have aloof and pristine for But The Nation that a class of suburban poor is across the U S as wealthy attempt to break down spatial were to erect More Watch The High Price Of Poverty We Are All Broken Watch Liberal Education Up To Name Watch Begging For A Watch More NEWS Morning In The Beginning There Was The To the faithful the is the absolute incontrovertible word of God revered and celebrated by millions To many mindful of a market hungry for new of the venerable text it s a gold mine More Morning Finding Religion Across Morning Of Worship In All Their Morning Painting A Portrait Of A Lady Advertisement Face The Nation In Full presidential hopeful Mike about and why he The s Mike and the Post s King talk TOP Winter In Ship Captain A Reporter s Perspective To Slim Down Drunk In Japan Is Organic Produce Avoid Prescription Drug Spring Time Snow In D C Billionaire In Space All INSIDE E Mail Sign up for a daily e mail that you what our evening s broadcast will cover Public Eye Inside the news Inside An unprecedented look inside the of News Check it out Tell us what you think News Video News on YOUR schedule WATCH the top of the day in full quality News Video is ALWAYS FREE News News on the go News Entertainment Tech and more Listen or The Early Show The latest and entertainment news plus health and All in one place Visit The Early Show to about his presidential campaign and that controversial market visit at p m Mystery The Ghost Of Coffin A businessman is his body and the evidence burned in an inferno Ten after the crime will justice be Week In See the week s most compelling The Inside Scoop Get the Scoop about what s on News this week Daily Crossword Are you up to the challenge Try our daily Crossword Back To Top To or change your subscription click here Contact Administrator W St Room New York Help Advertise of Service Privacy Statement Interactive All Reserved
0,[R] [Fwd: Re:  regular expression],Content Type text plain ISO format Content Transfer Content Type message name Re R regular expression Content Transfer Content Disposition Re R regular expression Message ID free Date Sun From User Agent Thunderbird X Accept Language en MIME Version To Subject Re R regular expression free de free de free de In Reply To de Content Type text plain ISO format Content Transfer a I guess your problem been by last night s discussion with G wrote a wrote a wrote Dear R List I have a great many in a directory and I would like to replace in every file the character by the character and in the same time I have to change by i e the character twice and not the unique character when the character is in So becomes and becomes Certainly regular expression could help me but I am not able to use it How can I do that with R In fact you do not need to know anything about regular in this case since you are simply going to replace certain by without any fuzzy x cat x n cat n Thank you very much R help math list mailman r help PLEASE do read the posting guide R project posting guide and provide minimal self reproducible code Yes You are right So I wrote the code below that I find a little awkward but it works see file path to improve the above for i in length see to improve the above along Or even better just work on the see below again file path is your friend conin open conin close conin You can simply use with the which open the connection to a file itself And I do not see why you want to read the file here Since your code becomes really complicated now let me suggest the following procedure untested for i in temp temp temp con file path result i conin open conin for l in text con text text close conin close R help math list mailman r help PLEASE do read the posting guide R project posting guide and provide minimal self reproducible code Dear The code t do what I want because I want to replace by only when the character is in So becomes becomes but to stay and not Did I miss something Yes gave me the end of the solution Thank you and For the people who are interested in the solution I will recapitulate below the The objective was to replace in a lot of single in double with single double in place of the single We have to allow for the fact that the pattern can be written on several in the Let us list the to realize that read the of every file in a vector of transform this vector in a string with multiple paste collapse n use a regular expression on this string to do the replacement go back to a vector of to have again the initial file write the new file library
0,Your RefWorks Login Information,message Thank you for with Your login information is b Name object
0,[R] How do I back transforme ordinary log-krigged prdiction values?,I have a question to everybody After I have done ordinary in in R I need to back the prediction to scale How do I do this in in R Thanks Brad Field Hall Department of Crop and Soil University R help math list mailman r help PLEASE do read the posting guide R project posting guide and provide minimal self reproducible code
1,Re: [perl #42339] [CAGE] Test Valid and Invalid Parrot Flags,On via wrote On Sun chromatic wrote When Parrot its command line it valid and invalid and invalid then with an exit code of I could find no for this feature They would be lovely to have A week ago I a patch which extracted the argument functionality from Configure and it in Parrot Configure The purpose of the patch was specifically to improve the of the functionality in Configure The patch also included a test file t configure t which among other included a test for an invalid option I mean the command line to the parrot executable not Configure c
0,CNN Alerts: bush,Alert Name bush President on sacrifice at Easter service President Bush at an Army post for peace in an Easter service about the of sin and doing what is right FULL STORY You have agreed to receive this from as a result of your preference To manage your click here To alter your alter your alert criteria or frequency or to from custom click here Refer a friend or colleague to s FREE service Cable News Network One Center Cable News Network A Time Warner Company All Reserved under which this service is provided to you Read our privacy Contact us
1,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",On at samba wrote Author Date Sun New Revision samba bin view rev root samba rev Log I hate inefficiency Don t call on every call initialize these in an at connection time and just refer to them directly This code is so close to that I m to suggest they should be Was there a particular reason you t do this Peach samba
0,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",message On at samba wrote Author Date Sun New Revision Name object
1,[R] Plot symbols dimensions,I am writing some code to obtain publication like like the can be with I am not able to find the of a point like make you able to make it bigger or smaller but I need to know the exact dimension in relative if my plot is a dot plotted with will be R help math list mailman r help PLEASE do read the posting guide R project posting guide and provide minimal self reproducible code
0,=?iso-8859-1?Q?Today's_WeatherDirect_Forecast_for_Waterloo?=,subscribe change profile contact us Long Term Day Trend Weather ON Hourly Forecast Time Temperature Condition C Cloudy with sunny C Cloudy with sunny C Cloudy with sunny C Cloudy with clear C Variable cloudiness C Cloudy C Cloudy Short Term Forecast overnight morning afternoon evening C C C C Cloudy with clear Cloudy with sunny Cloudy with sunny Cloudy with clear Index Low Index Low Index Low Index Low Wind h Wind h W Wind h W Wind h P O P P O P P O P P O P Long Term Forecast Condition Cloudy with sunny Cloudy Rain or snow Rain Variable cloudiness Light rain High C C C C C C Low C C C C C C P O P Wind W h W h SE h S h W h E h Rain close to Snow National Outlook Weather More Weather Satellite Radar Temperature Wind Chill System Precipitation Wind Speed Icon Map Other Weather Related Mobile Everyday Weather On Demand Road sea to sky Links To to Weather Direct click here Advertising Help Privacy The Weather Network
0,FNC Alert,SHOOTING ONE OVER FOR TOURNAMENT Watch FOX News Channel or go to for more ADVERTISEMENT Get the latest FOX News gear at the Fox News Shop Go to shop This e mail is never sent unsolicited You have received this FOX News Alert because you to it or someone it to you To from FOX News or to add remove a new e mail address log on to Copyright FOX News Network Avenue of the New York All Reserved
1,[perl #42359] [PATCH] Assorted cleanups - part III (Intel C++) ,Content Type text plain Content Transfer New Ticket by Please include the string in the subject line of all future correspondence about this issue The attached patch several to silence when Parrot with C The fall mainly into two in STRING from a void to a char This also some where the pointer is as an unsigned char should be as not as the type So there are multiple variable and parameter from an type to an Content Type text plain us ascii name out Content Disposition out Content Transfer Attachment Index embed c embed c revision embed c working copy item C item C a flag in the interpreter by C any of C or C to enable and void flag flag These two from interpreter h do exactly what they look like item C item C item C void flag flag flag item C flag item C flag flag return flag Index io io revision io working copy if NEXT Index c c revision c working copy a structure to communicate with the command command Index string c string c revision string c working copy char STRING result hex i iter unsigned char char if return NULL STRING s offset if s STRING s offset count if s STRING s offset count if s Index tables h tables h revision tables h working copy define define PUNCTUATION define DIGIT extern extern extern extern Index iso c iso c revision iso c working copy static void STRING unsigned char buffer char buffer offset if STRING offset unsigned char buffer char buffer if return static void STRING unsigned char buffer char buffer unsigned c offset static void STRING unsigned char buffer char buffer unsigned c if static void STRING unsigned char buffer char buffer unsigned c if static STRING offset static STRING offset count offset static STRING offset count offset Index binary c binary c revision binary c working copy static STRING offset return static STRING offset count return offset count static STRING offset count return offset count Index c c revision c working copy static if which one static STRING offset static STRING offset count offset static STRING offset count offset Index ascii c ascii c revision ascii c working copy iter c unsigned char p char p if static STRING offset static STRING offset count offset static STRING offset count offset Index tables c tables c revision tables c working copy include tables h Index string string revision string working copy METHOD void STRING table i unsigned char p char p METHOD void reverse STRING i unsigned char p char p if METHOD STRING i unsigned char p char p if Index revision working copy void d s d s we block DOD while since C is not yet running d static void self parent flag flag if self Index default default revision default working copy b Hash SELF name if b p b value p b value if p may be Index key key revision key working copy void key SELF next while next key next key if next key NULL break Index c c revision c working copy void void parent parent if else the last interpreter w o parent to cleanup Index c c revision c working copy void char label type char label type self code i type type char name make a hash of all Index c c revision c working copy void severity long error severity long error Index io c io c revision io c working copy l layer b unsigned char char STRING s current STRING l unsigned char unsigned char char char b io b STRING s s l unsigned char s s s s s s l if layer io b s l unsigned char s s s s b next s s l Index io h io h revision io h working copy Buffer specific size unsigned char Start of buffer unsigned char End of buffer unsigned char next Current read write pointer char Start of buffer char End of buffer char next Current read write pointer Index io io c io io c revision io io c working copy hi lo return hi lo return hi lo Index c c revision c working copy void void i char Index h h revision h working copy arena void void interface Index include parrot h include parrot h revision include parrot h working copy width FLAG TYPE type PHASE phase type phase ARGUMENT OBJECT Index include parrot embed h include parrot embed h revision include parrot embed h working copy void void void void void void void void void Index include parrot h include parrot h revision include parrot h working copy STRING STRING offset STRING STRING offset STRING STRING offset STRING offset count STRING offset count STRING offset STRING offset count STRING offset count STRING offset STRING offset STRING offset Index include parrot h include parrot h revision include parrot h working copy void STRING void STRING STRING offset STRING offset count STRING offset count STRING offset STRING offset Index include parrot h include parrot h revision include parrot h working copy void char representation void These should be of type and Index include parrot interpreter h include parrot interpreter h revision include parrot interpreter h working copy count of below all loaded Various interpreter that Various interpreter that signal that should do something parent parent void void void void void type void self void self void type void char name char proto Index include parrot thread h include parrot thread h revision include parrot thread h working copy thread or such state state is trying to do a run tid n in array Index include parrot h include parrot h revision include parrot h working copy create new entry void char label find entry type char type char Index include parrot h include parrot h revision include parrot h working copy seen list used by thaw id ID of void extra specific concerning to extra concerning to extra Index include parrot h include parrot h revision include parrot h working copy Right now there s nothing special for the jump buffer but there might be one later so we wrap it in a so that we can expand it later destination severity s above severity s above long error STRING may be NULL void resume for resume or NULL internal exception handling void severity long error void severity long error void void Index auto auto revision auto working copy security optimization accumulate outgoing shadow point is part of Wall equal may not be what we want We t be but I doubt will harm
0,CNN Breaking News,message off Tiger and to win the Watch the latest Name object
1,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",On Sun at Peach wrote On at samba wrote Author Date Sun New Revision samba bin view rev root samba rev Log I hate inefficiency Don t call on every call initialize these in an at connection time and just refer to them directly This code is so close to that I m to suggest they should be Was there a particular reason you t do this Yes mine is much simpler I was just doing the minimal thing that works for Vista Doing t the same as the system call on is close enough that I could squeeze it in This code a marked speed increase for Vista when explorer against
1,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",On Sun at Peach wrote On at samba wrote Author Date Sun New Revision samba bin view rev root samba rev Log I hate inefficiency Don t call on every call initialize these in an at connection time and just refer to them directly This code is so close to that I m to suggest they should be Was there a particular reason you t do this Yes mine is much simpler I was just doing the minimal thing that works for Vista Doing t the same as the system call on is close enough that I could squeeze it in This code a marked speed increase for Vista when explorer against
1,"svn commit: samba r22133 - in branches/SAMBA_4_0: . 	source/script/tests",Author Date Sun New Revision samba bin view rev root samba rev Log Don t push into environment until necessary source script Property on Name merge source script source script rev source script rev prefix s PREFIX prefix my not bin PATH bin PATH my if Socket wrapper socket wrapper PASSWORD DOMAIN SERVER CONFIGURATION PREFIX my push option push CONFIGURATION ensure any one call t run too long The fail if this variable is set delete DOMAIN if my term TERM or system term e echo e Welcome to the Test environment This the client environment used in make test is cat Some useful environment CONFIGURATION CONFIGURATION SERVER SERVER
0,Build status as of Mon Apr  9 00:00:02 2007,build samba home build master cache old home build master cache Build status as of Sun Build status as of Mon Build Tree Total Broken Panic SOC lorikeet lorikeet samba samba samba build
0,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",message On at wrote On Sun at Peach wrote On at samba Name object
1,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",On at wrote On Sun at Peach wrote On at samba wrote Author Date Sun New Revision samba bin view rev root samba rev Log I hate inefficiency Don t call on every call initialize these in an at connection time and just refer to them directly This code is so close to that I m to suggest they should be Was there a particular reason you t do this Yes mine is much simpler I was just doing the minimal thing that works for Vista Doing t the same as the system call on is close enough that I could squeeze it in You could add this to and just have an option that whether it does a ie I O hint or an actual read This code a marked speed increase for Vista when explorer against Sure but that do almost the same thing is just Peach samba
1,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",On Sun at Peach wrote You could add this to and just have an option that whether it does a ie I O hint or an actual read I await your patch Sure but that do almost the same thing is just I don t think they do is built around this one on It s not the same as from the start of the file on every request that offset
1,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",On Sun at Peach wrote You could add this to and just have an option that whether it does a ie I O hint or an actual read I await your patch Sure but that do almost the same thing is just I don t think they do is built around this one on It s not the same as from the start of the file on every request that offset
1,"svn commit: samba r22134 - in branches/SAMBA_4_0: . 	source/script/tests",Author Date Mon New Revision samba bin view rev root samba rev Log Create different file for the client side This should make use with Samba or easier as well as source script sh source script Property on Name merge source script sh source script sh rev source script sh rev PREFIX p if z then true else false fi cat print global n if defined print native true n else print native false n print DOMAIN realm REALM include socket directory name resolve order panic action script PROG notify false true system anonymous true We don t want to pass our self if the PAC code is wrong torture st true directory close my push option push CONFIGURATION push ensure any one call t run too long push maximum push target
1,Re: [sugar] trying to run under OS X parallels,message On Sat at wrote I am trying to install the emu Name object
1,[perl #42359] [PATCH] Assorted cleanups - part III (Intel C++) ,Content Type text plain Content Transfer On Sun wrote The attached patch several to silence when Parrot with C It to attach the right patch Content Type application octet stream name out Content Disposition out Content Transfer Attachment
1,[perl #42360] [TODO]:  Unit tests for Parrot::Revision ,New Ticket by Please include the string in the subject line of all future correspondence about this issue Parrot Revision to have no unit written specifically for it Write some then perform coverage analysis to make sure all code is covered by Parrot Revision gen revision use Parrot Revision gen revision my revision Parrot Revision current gen revision my Parrot Revision Parrot Revision Parrot Revision Revision Parrot Revision use Parrot Revision Parrot Revision print Parrot Revision current Parrot Revision print Parrot Revision Parrot Revision package Parrot Revision t t use Parrot Revision t t unless Parrot Revision current or build use Parrot Revision build return Parrot Revision current build return Parrot Revision
1,Re: [sugar] trying to run under OS X parallels,Hi I had the same problem with build that the image is low on disk space Log in at the console root no and remove something from home Library I did about after that it should boot fine Dan wrote On Sat at wrote I am trying to install the emulator build under build on OS on an I get tantalizingly close following the at go to which I would only add that setting the to and full screen mode to get just a tiny bit further I see the initial splash page boots fine but I never get sent back to a I can login as root and it sort of works as a console the display goes black every few it also that the DISPLAY environment variable is not set for what that s worth Apparently X is not starting correctly To diagnose that we need a log So log in as root Then let X die and try to restart When it again quickly type at the root shell to stop X Then grab log log and attach that to a bug report in on dev Dan I also repeatedly get a message that Id too fast disabled for Any advice would be much Sugar list Sugar mailman mailman sugar Sugar list Sugar mailman mailman sugar Sugar list Sugar mailman mailman sugar
1,Re: errors when reinstalling kernel-2.6.19 on fedora core 6,Hi that worked just fine I that the installation automatically an image for me I ahead and it for my as it said in the What script on my system how the that is with the installation of the kernel so I could modify it for my For some odd reason grub tried to look for a floppy in my floppy and I got lots of I O but other then those my grub got properly I also notice that my backspace is not at me at the bash prompt and also when with bell mode on Anything I should check in the configuration as to why backspace does not at beginning of the line On Sun wrote Run grub install Nick Hi I had to completely remove and install core as when I was trying to fix grub something and I lost my I core and am trying to upgrade to kernel that I from but I get the following error from grubby fatal error unable to find a suitable template What does this mean and how can I fix it Also what is the difference between the kernel and the kernel as was by default on my core system list ca speech ca mailman list ca speech ca mailman
0,"Re: svn commit: samba r22134 - in branches/SAMBA_4_0: . 	source/script/tests",message samba Author Date Mon New Revision samba bin v Name object
1,"Re: svn commit: samba r22134 - in branches/SAMBA_4_0: . 	source/script/tests",samba Author Date Mon New Revision samba bin view rev root samba rev Log Create different file for the client side This should make use with Samba or easier as well as Hi I m not quite sure what you have in mind and I don t know if this is relevant but just in case In we care about client side configuration which may differ from the server configuration Here in pseudo code is what it does Try to load a personal file if HOME SUCCESS If that try to load the system file if SUCCESS If that allow local by in their personal append file HOME append This the case where one to have their own entire file but also where the system wide file should be used but a few to its made for client use in append
1,"Re: svn commit: samba r22132 - in branches: 	SAMBA_3_0/source/modules SAMBA_3_0/source/smbd 	SAMBA_3_0_25/source/modules SAMBA_3_0_25/source/smbd",On at wrote On Sun at Peach wrote You could add this to and just have an option that whether it does a ie I O hint or an actual read I await your patch I knew you were going to say that Sure but that do almost the same thing is just I don t think they do is built around this one on It s not the same as from the start of the file on every request that offset They re not exactly the same but they are mostly the same The difference is quite subtle This patch should resolve the Index source c source c revision source c working copy Copyright c Peach Copyright c Peach Copyright c This program is free you can redistribute it and or modify it under the of the GNU General Public License as by Amount of in This should be a multiple of the RAID stripe width level at which to emit force alignment Force all I O to be to an boundary If this is false we simply issue a on each boundary To configure for Vista force alignment no define min is static static static void NULL static BOOL False static void offset static BOOL False err if defined err offset s on u offset u returned d n MODULE unsigned unsigned long long offset unsigned err defined err offset s on u offset u returned d n MODULE unsigned unsigned long long offset unsigned err else if s no on this platform n MODULE True Prime the kernel buffer cache with data from the file We use per data to make sure we only ever do this once If is being by seek read seek when this will suck quite a lot return False s doing of at for s n MODULE long long long long last if s doing of at for s n MODULE long long long long last last if last return False last if last return False else last last SNUM handle conn MODULE NULL SNUM handle conn MODULE force alignment False if s of minimum of u n if NULL Turn off if we can t get a buffer if True if NULL Turn off if we can t get a buffer return handle service user Peach samba
